降水量(mm),土壤蒸发量(W/m2),10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2)
2.29,0.57,13.73,30.87,42.79,168.56
2.29,0.86,13,30.87,42.79,168.56
21.84,1.78,12.6,30.87,42.79,168.56
6.1,6.94,11.97,30.73,42.76,168.56
50.8,16.89,14.18,29.99,42.58,168.56
98.81,32.34,19.28,39.52,43.01,168.56
183.39,29.38,19.64,55.47,54.9,168.53
62.23,13.32,15.76,44.94,61.25,168.44
62.74,12.88,17.12,45.67,55.29,168.38
16.51,7.59,15.04,42.49,54.69,168.33
30.48,0.88,14.79,42.71,55.02,168.32
5.59,0.32,14.42,42.71,55.02,168.32
3.3,0.37,14.09,42.71,55.02,168.32
2.79,0.81,13.55,42.71,55.02,168.32
9.14,3.14,12.85,42.7,55.02,168.32
19.56,4.81,11.82,42.6,54.96,168.32
11.18,11.62,12.73,40.66,54.08,168.32
65.53,37.17,19.25,48.64,54.08,168.29
101.35,36.64,20.34,54.64,62.91,168.22
68.07,20.28,17.61,48.09,60.95,168.11
7.37,9.18,14.49,38.27,55.29,168.04
5.59,5.5,13.56,35.33,52.83,168
3.56,1.96,11.92,35.23,52.75,167.97
4.57,0.38,10.98,35.22,52.76,167.96
30.73,0.63,10.55,35.22,52.76,167.96
2.54,0.43,9.97,35.22,52.76,167.96
2.54,13.5,13.96,36.19,52.75,167.96
5.84,19.41,15.5,42.33,52.56,167.96
62.48,23.61,16.73,41.97,52.24,167.96
66.04,27.83,18.29,49.67,53.89,167.92
63.5,21.6,16.7,44.67,55.34,167.88
27.94,10.33,14.85,35.53,49.35,167.83
23.37,5.13,12.84,29.71,45.27,167.79
34.29,8.21,14.98,33.74,44.44,167.75
1.02,3.76,13.72,35.79,44.52,167.72
5.33,0.69,11.73,35.81,44.52,167.72
153.16,0.43,11.17,35.81,44.52,167.72
34.8,0.58,10.77,35.81,44.52,167.72
0.51,1.44,9.93,35.79,44.52,167.72
36.58,12.19,15.31,35.63,44.48,167.72
45.97,14.99,14.55,34.71,44.27,167.72
