降水量(mm),土壤蒸发量(W/m2),100cm湿度(kg/m2)
2.29,0.57,42.79
2.29,0.86,42.79
21.84,1.78,42.79
6.1,6.94,42.76
50.8,16.89,42.58
98.81,32.34,43.01
183.39,29.38,54.9
62.23,13.32,61.25
62.74,12.88,55.29
16.51,7.59,54.69
30.48,0.88,55.02
5.59,0.32,55.02
3.3,0.37,55.02
2.79,0.81,55.02
9.14,3.14,55.02
19.56,4.81,54.96
11.18,11.62,54.08
65.53,37.17,54.08
101.35,36.64,62.91
68.07,20.28,60.95
7.37,9.18,55.29
5.59,5.5,52.83
3.56,1.96,52.75
4.57,0.38,52.76
30.73,0.63,52.76
2.54,0.43,52.76
2.54,13.5,52.75
5.84,19.41,52.56
62.48,23.61,52.24
66.04,27.83,53.89
63.5,21.6,55.34
27.94,10.33,49.35
23.37,5.13,45.27
34.29,8.21,44.44
1.02,3.76,44.52
5.33,0.69,44.52
153.16,0.43,44.52
34.8,0.58,44.52
0.51,1.44,44.52
36.58,12.19,44.48
45.97,14.99,44.27
143,20.78,44.18
76.71,17.54,44.62
46.48,10.37,44.45
48.77,12.06,43.57
16,9.49,46.3
156.97,1.96,47.79
270,0.6,47.89
4.32,0.59,47.89
9.65,0.94,47.89
93.47,2.58,47.89
6.1,4.31,47.82
16.76,22.17,47.5
77.72,24.02,47.6
51.31,20.58,48.39
54.36,6.43,45.51
30.48,9.48,43.44
57.15,9.15,44.77
44.45,5.8,45.86
481.33,1.36,45.86
891.79,0.62,45.86
202.44,1.07,45.86
8.38,2.01,45.86
6.6,3.95,45.81
6.6,7.98,45.61
39.88,10.32,45.5
36.58,13.61,44.29
56.64,11.05,43.26
12.19,6.61,42.71
10.92,4.08,42.53
207.52,1.92,42.64
205.49,0.69,42.65
414.02,0.42,42.65
298.7,0.46,42.65
29.72,1.15,42.65
19.56,12.3,42.62
20.83,11.82,42.49
19.56,15.79,42.36
95.76,25.76,45.46
50.8,14.65,57.18
61.47,12.7,60.56
24.64,6.09,62.59
236.73,1.91,63.66
0,1.14,63.68
0.51,0.74,63.68
184.4,0.33,63.68
2.79,1.19,63.66
5.84,4.82,63.41
30.23,21.17,62.31
64.77,20.79,60.77
59.18,18.9,57.97
113.54,14.27,52.05
16.51,4.68,48.82
28.45,4.71,47.08
5.33,2.94,47.06
20.57,0.52,47.07
4.06,0.33,47.07
8.64,0.63,47.07
4.32,2.6,47.07
10.67,10.51,46.99
39.12,19.89,46.68
35.81,23.21,46.43
171.96,30.21,54.24
83.31,23.02,68.52
25.65,16.95,76.04
5.84,11.19,80.84
5.08,2.43,82.25
2.29,1.41,82.44
4.57,1.05,82.44
240.03,1.58,82.44
118.62,7,82.43
10.67,10.75,81.94
17.78,15.29,79.86
52.07,24.66,76.28
134.37,28.82,85.27
37.34,17.97,85.64
65.53,17.3,87.32
4.83,9.78,92.52
530.86,1.39,93.43
193.8,0.87,93.45
607.31,0.41,93.45
796.04,0.28,93.45
115.57,5.58,93.44
65.422692,1.649694195,
77.986058,11.2203942,
89.384324,28.32419379,
89.384324,32.71332826,
81.240445,19.86109205,
64.555888,10.53861302,
230.976166,5.777791903,
125.782518,3.362984727,
257.695936,0.843851459,
257.695936,0.012,
88.047614,0.126456069,
57.601046,8.386471926,
94.897994,8.671760522,
77.738319,15.88456308,
100.236314,30.72857639,
83.986838,32.28102577,
84.499302,13.31917774,
135.426053,14.22357577,
31.088022,7.144060999,
60.086387,0.012,
29.141532,0.012095683,
